Iteration	Posterior	Likelihood	Prior	lambda	rate[1]	rate[2]	tr[1]	tr[2]	word_rate_mult[1]	word_rate_mult[2]	word_rate_mult[3]	word_rate_mult[4]	word_rate_mult[5]	word_rate_mult[6]	word_rate_mult[7]	word_rate_mult[8]	word_rate_mult[9]	word_rate_mult[10]	word_rate_mult[11]
135	-647.5103	-628.1452	-19.36502	0.01054248	0.958119	0.0418809	0.5	0.5	0.0304691	0.0247909	0.0404336	10.6887	0.020762	0.00797673	0.0405805	0.0252654	0.0537431	0.033858	0.0333824
140	-647.8487	-628.4458	-19.40286	0.01092083	0.964908	0.0350925	0.5	0.5	0.0304691	0.0247909	0.0404336	10.6887	0.020762	0.00797673	0.0405805	0.0252654	0.0537431	0.033858	0.0333824
145	-657.4316	-638.0287	-19.40286	0.01092083	0.954685	0.045315	0.5	0.5	0.0304691	0.0247909	0.0404336	10.6887	0.020762	0.00797673	0.0405805	0.0252654	0.0537431	0.033858	0.0333824
150	-650.8009	-631.4673	-19.33358	0.01022808	0.963256	0.0367441	0.5	0.5	0.0304691	0.0247909	0.0404336	10.6887	0.020762	0.00797673	0.0405805	0.0252654	0.0537431	0.033858	0.0333824
155	-647.569	-628.2355	-19.33358	0.01022808	0.971712	0.028288	0.5	0.5	0.0304691	0.0247909	0.0404336	10.6887	0.020762	0.00797673	0.0405805	0.0252654	0.0537431	0.033858	0.0333824
160	-655.8978	-636.3161	-19.58175	0.009149198	0.97505	0.0249505	0.5	0.5	0.0294004	0.0239213	0.0390153	10.6997	0.0200337	0.00769693	0.0391571	0.0243791	0.051858	0.0326703	0.0322115
165	-671.256	-650.91	-20.34598	0.01679151	0.984906	0.0150935	0.5	0.5	0.0294004	0.0239213	0.0390153	10.6997	0.0200337	0.00769693	0.0391571	0.0243791	0.051858	0.0326703	0.0322115
170	-650.5646	-630.7924	-19.7722	0.01105371	0.958657	0.0413427	0.5	0.5	0.0294004	0.0239213	0.0390153	10.6997	0.0200337	0.00769693	0.0391571	0.0243791	0.051858	0.0326703	0.0322115
175	-657.9089	-638.3335	-19.57534	0.00908513	0.957218	0.0427817	0.5	0.5	0.0294004	0.0239213	0.0390153	10.6997	0.0200337	0.00769693	0.0391571	0.0243791	0.051858	0.0326703	0.0322115
180	-654.0563	-633.895	-20.16135	0.01494521	0.96118	0.0388199	0.5	0.5	0.0294004	0.0239213	0.0390153	10.6997	0.0200337	0.00769693	0.0391571	0.0243791	0.051858	0.0326703	0.0322115
185	-646.3173	-625.6592	-20.65805	0.009803025	0.970382	0.029618	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
190	-653.5099	-632.9735	-20.53643	0.008586877	0.96604	0.0339598	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
195	-661.3528	-640.28	-21.07287	0.01395128	0.963496	0.0365037	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
200	-661.2689	-640.196	-21.07287	0.01395128	0.970566	0.0294345	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
205	-658.984	-637.81	-21.17399	0.01496239	0.956218	0.0437818	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
210	-659.3396	-638.137	-21.20255	0.01524805	0.96858	0.0314204	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
215	-655.1225	-634.1473	-20.97517	0.01297423	0.955787	0.0442131	0.5	0.5	0.0294905	0.0239946	0.0391349	10.7325	0.0200951	0.00772052	0.0392771	0.0244539	0.0183016	0.0327705	0.0323102
220	-652.9419	-632.7256	-20.21625	0.01035447	0.966761	0.0332391	0.5	0.5	0.029458	0.0239682	0.0390917	10.7206	0.0200729	0.00771201	0.0392338	0.0244269	0.030416	0.0327343	0.0322746
225	-653.1285	-632.9122	-20.21625	0.01035447	0.962641	0.0373587	0.5	0.5	0.029458	0.0239682	0.0390917	10.7206	0.0200729	0.00771201	0.0392338	0.0244269	0.030416	0.0327343	0.0322746
230	-649.8266	-629.6103	-20.21625	0.01035447	0.9677	0.0323002	0.5	0.5	0.029458	0.0239682	0.0390917	10.7206	0.0200729	0.00771201	0.0392338	0.0244269	0.030416	0.0327343	0.0322746
235	-650.1571	-629.8653	-20.2918	0.01110999	0.969593	0.0304067	0.5	0.5	0.029458	0.0239682	0.0390917	10.7206	0.0200729	0.00771201	0.0392338	0.0244269	0.030416	0.0327343	0.0322746
240	-660.9926	-640.9147	-20.07787	0.008970702	0.952571	0.0474287	0.5	0.5	0.029458	0.0239682	0.0390917	10.7206	0.0200729	0.00771201	0.0392338	0.0244269	0.030416	0.0327343	0.0322746
245	-651.0035	-631.2781	-19.72543	0.01110682	0.972611	0.0273887	0.5	0.5	0.029379	0.023904	0.038987	10.6919	0.0200192	0.00769135	0.0672378	0.0257178	0.0303345	0.0326466	0.0321881
250	-648.1527	-628.1293	-20.02335	0.01088747	0.974457	0.0255435	0.5	0.5	0.0294308	0.0239461	0.0390557	10.7107	0.0200544	0.0077049	0.0479799	0.0257631	0.030388	0.0327041	0.0322448
255	-655.2418	-635.2675	-19.97434	0.01039739	0.96854	0.03146	0.5	0.5	0.0294308	0.0239461	0.0390557	10.7107	0.0200544	0.0077049	0.0479799	0.0257631	0.030388	0.0327041	0.0322448
260	-655.5362	-635.8009	-19.7353	0.008006989	0.9508	0.0492	0.5	0.5	0.0294308	0.0239461	0.0390557	10.7107	0.0200544	0.0077049	0.0479799	0.0257631	0.030388	0.0327041	0.0322448
265	-657.9515	-638.2162	-19.7353	0.008006989	0.962904	0.0370964	0.5	0.5	0.0294308	0.0239461	0.0390557	10.7107	0.0200544	0.0077049	0.0479799	0.0257631	0.030388	0.0327041	0.0322448
270	-656.5983	-636.4959	-20.10238	0.01062362	0.96359	0.0364096	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
275	-651.0647	-630.7369	-20.3278	0.01287785	0.960738	0.0392616	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
280	-650.2485	-629.9207	-20.3278	0.01287785	0.964987	0.0350131	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
285	-652.6847	-632.5103	-20.17443	0.01134412	0.956931	0.0430693	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
290	-661.2318	-641.0521	-20.17977	0.01139752	0.920162	0.0798381	0.5	0.5	0.0291213	0.0236943	0.038645	10.7138	0.0198436	0.00762388	0.0474754	0.0254922	0.0300685	0.0323603	0.0319058
